Environment,Value iteration,Bopa,Perseus,Perseusrandom,Atpo,Random agent
abandoned_power_plant,94.91(±1.99),nan(±nan),95.12(±2.1),93.81(±4.97),94.75(±2.35),47.44(±62.31)
cit,86.22(±2.27),84.88(±2.94),85.09(±2.53),69.91(±14.46),75.66(±9.52),-81.25(±20.88)
gridworld,95.62(±1.54),93.38(±3.14),93.44(±3.13),39.91(±61.34),86.53(±9.12),5.88(±64.13)
isr,92.41(±2.68),91.66(±4.22),91.16(±4.68),60.59(±59.15),82.62(±12.19),-23.31(±68.05)
mit,84.5(±0.87),84.31(±0.88),84.09(±0.58),83.75(±0.75),83.72(±0.57),-71.41(±20.01)
ntu,98.0(±0.0),98.0(±0.0),97.25(±0.43),97.28(±0.51),97.19(±0.53),88.0(±7.42)
overcooked,39.12(±60.73),24.81(±66.19),30.56(±62.45),27.94(±64.58),25.31(±66.43),-46.75(±18.1)
pentagon,91.0(±0.0),85.5(±6.71),90.62(±0.6),53.28(±56.53),81.19(±11.04),-45.94(±55.14)
pursuit-both,90.19(±8.32),90.06(±7.47),84.44(±11.76),35.34(±63.18),82.72(±12.81),20.72(±69.47)
pursuit-task,92.72(±4.87),92.81(±3.48),88.03(±7.51),47.59(±55.46),82.59(±11.18),14.59(±71.34)
pursuit-teammate,89.88(±8.38),91.38(±6.13),86.97(±12.04),81.34(±31.56),86.41(±14.52),-7.66(±78.7)
